# source: Binance public market data (BTCUSDT 4h)
# url: https://data-api.binance.vision/api/v3/klines?symbol=BTCUSDT&interval=4h&limit=1000
# downloaded_at: 2026-09-21
# license: Public API; data provided as-is by Binance
date,open,high,low,close,volume
2026-04-07T20:00,69011.29000000,72761.00000000,69011.29000000,71924.22000000,9372.24485000
2026-04-08T00:00,71924.22000000,72110.65000000,71240.99000000,71287.39000000,3370.06511000
2026-04-08T04:00,71287.39000000,71941.42000000,71287.38000000,71627.59000000,3297.95570000
2026-04-08T08:00,71627.59000000,71955.00000000,71407.77000000,71675.12000000,2214.64952000
2026-04-08T12:00,71675.12000000,72857.00000000,70707.23000000,71310.00000000,6816.03917000
2026-04-08T16:00,71309.99000000,71963.94000000,71019.00000000,71318.48000000,2617.29334000
2026-04-08T20:00,71318.47000000,71748.00000000,70901.89000000,71069.93000000,1486.68343000
2026-04-09T00:00,71069.93000000,71198.80000000,70466.00000000,70992.39000000,2645.29554000
2026-04-09T04:00,70992.37000000,71116.00000000,70689.38000000,70982.01000000,2261.38499000
2026-04-09T08:00,70982.01000000,71575.00000000,70865.42000000,71150.17000000,1825.96774000
2026-04-09T12:00,71150.17000000,72358.00000000,70522.77000000,72141.99000000,4001.11726000
2026-04-09T16:00,72142.00000000,72550.00000000,71729.66000000,72096.32000000,4013.80807000
2026-04-09T20:00,72096.33000000,73145.00000000,71585.25000000,71787.97000000,3410.84799000
2026-04-10T00:00,71787.98000000,72387.00000000,71573.35000000,71868.67000000,2706.87605000
2026-04-10T04:00,71868.67000000,72267.89000000,71428.00000000,71481.85000000,2293.26674000
2026-04-10T08:00,71481.85000000,72261.93000000,71426.15000000,72127.59000000,1565.72366000
2026-04-10T12:00,72127.59000000,73289.96000000,71899.51000000,72460.51000000,5093.36163000
2026-04-10T16:00,72460.52000000,73264.76000000,72387.41000000,73236.11000000,2498.15366000
2026-04-10T20:00,73236.11000000,73434.00000000,72700.60000000,72962.70000000,3215.25114000
2026-04-11T00:00,72962.71000000,73094.89000000,72670.00000000,72866.63000000,1637.40665000
2026-04-11T04:00,72866.62000000,72954.28000000,72612.16000000,72745.38000000,1432.18692000
2026-04-11T08:00,72745.38000000,72915.95000000,72617.75000000,72907.05000000,905.10314000
2026-04-11T12:00,72907.05000000,72982.40000000,72513.09000000,72858.17000000,1133.77392000
2026-04-11T16:00,72858.18000000,73790.00000000,72812.94000000,73687.15000000,2377.30473000
2026-04-11T20:00,73687.16000000,73689.97000000,72907.40000000,73043.16000000,1585.16838000
2026-04-12T00:00,73043.16000000,73137.24000000,71310.00000000,71593.19000000,4092.12587000
2026-04-12T04:00,71593.18000000,71781.00000000,71417.22000000,71665.00000000,1969.72049000
2026-04-12T08:00,71664.99000000,71805.85000000,71357.76000000,71468.55000000,1780.81611000
2026-04-12T12:00,71468.54000000,71500.00000000,70604.07000000,70892.03000000,2361.32179000
2026-04-12T16:00,70892.04000000,71222.58000000,70821.05000000,71084.18000000,991.98626000
2026-04-12T20:00,71084.18000000,71452.00000000,70505.88000000,70740.98000000,2276.49749000
2026-04-13T00:00,70741.56000000,71271.78000000,70615.30000000,70976.00000000,1886.64720000
2026-04-13T04:00,70975.99000000,71144.00000000,70672.72000000,70813.88000000,2674.10149000
2026-04-13T08:00,70813.88000000,70997.12000000,70566.99000000,70929.68000000,1023.04479000
2026-04-13T12:00,70929.68000000,72464.28000000,70758.50000000,71866.59000000,5445.44909000
2026-04-13T16:00,71866.59000000,73480.00000000,71679.80000000,73322.82000000,6766.75131000
2026-04-13T20:00,73322.00000000,74900.00000000,73007.08000000,74417.99000000,6434.22237000
2026-04-14T00:00,74418.00000000,74579.32000000,73954.86000000,74444.43000000,3586.04231000
2026-04-14T04:00,74444.44000000,74924.64000000,74150.60000000,74546.00000000,3393.84035000
2026-04-14T08:00,74545.99000000,74910.00000000,74307.35000000,74376.52000000,2697.70497000
2026-04-14T12:00,74376.52000000,76038.00000000,74277.19000000,75317.07000000,9779.47075000
2026-04-14T16:00,75317.06000000,75688.00000000,73795.47000000,74223.18000000,4920.10933000
2026-04-14T20:00,74223.30000000,74434.33000000,73806.09000000,74131.55000000,2155.77685000
2026-04-15T00:00,74131.55000000,74786.72000000,74126.32000000,74345.97000000,2142.74367000
